Round,Indicator,Group,Subgroup,Sample Size,Response,Percent,Standard Error,Suppression,Significant
1,Provider offers telemedicine,Total,Total,6786,Total,100,,,
1,Provider offers telemedicine,Total,Total,,Yes,36.6,0.8,,
1,Provider offers telemedicine,Total,Total,,No,46.9,0.8,,
1,Provider offers telemedicine,Total,Total,,Do not know,5.2,0.4,,
1,Provider offers telemedicine,Total,Total,,No usual place of care,11.3,0.7,,
1,Provider offers telemedicine,Age group,18-44 years,2607,Total,100,,,
1,Provider offers telemedicine,Age group,18-44 years,,Yes,30.2,1.2,,
1,Provider offers telemedicine,Age group,18-44 years,,No,45.9,1.1,,
1,Provider offers telemedicine,Age group,18-44 years,,Do not know,7,0.8,,
1,Provider offers telemedicine,Age group,18-44 years,,No usual place of care,16.9,1.1,,
1,Provider offers telemedicine,Age group,45-64 years,2380,Total,100,,,
1,Provider offers telemedicine,Age group,45-64 years,,Yes,39.8,1.4,,
1,Provider offers telemedicine,Age group,45-64 years,,No,48.5,1.5,,
1,Provider offers telemedicine,Age group,45-64 years,,Do not know,4.1,0.6,,
1,Provider offers telemedicine,Age group,45-64 years,,No usual place of care,7.6,0.7,,
1,Provider offers telemedicine,Age group,65 years and over,1799,Total,100,,,
1,Provider offers telemedicine,Age group,65 years and over,,Yes,45.9,1.3,,
1,Provider offers telemedicine,Age group,65 years and over,,No,46.5,1.3,,
1,Provider offers telemedicine,Age group,65 years and over,,Do not know,2.9,0.5,,
1,Provider offers telemedicine,Age group,65 years and over,,No usual place of care,4.6,0.8,,
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,4506,Total,100,,,
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Yes,37.4,1.3,,
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No,48.7,1.3,,
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Do not know,4.8,0.5,,
1,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No usual place of care,9.1,0.7,,
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,811,Total,100,,,
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Yes,38.5,2.7,,
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No,42.9,2.1,,
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Do not know,5.8,0.7,,
1,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,12.9,2.2,,
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,529,Total,100,,,
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Yes,34.1,2.2,,
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No,46.1,2.6,,
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Do not know,,,*,
1,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,12.2,2.4,,
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,940,Total,100,,,
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Yes,33.4,2,,
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No,43.5,2.9,,
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Do not know,5.2,1,,
1,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No usual place of care,17.9,2.6,,
1,Provider offers telemedicine,Sex,Male,2963,Total,100,,,
1,Provider offers telemedicine,Sex,Male,,Yes,33.4,1.1,,
1,Provider offers telemedicine,Sex,Male,,No,48.9,1.3,,
1,Provider offers telemedicine,Sex,Male,,Do not know,4.9,0.5,,
1,Provider offers telemedicine,Sex,Male,,No usual place of care,12.9,1,,
1,Provider offers telemedicine,Sex,Female,3823,Total,100,,,
1,Provider offers telemedicine,Sex,Female,,Yes,39.7,1,,
1,Provider offers telemedicine,Sex,Female,,No,45.1,1,,
1,Provider offers telemedicine,Sex,Female,,Do not know,5.5,0.6,,
1,Provider offers telemedicine,Sex,Female,,No usual place of care,9.8,1,,
1,Provider offers telemedicine,Education,High school graduate or less,1294,Total,100,,,
1,Provider offers telemedicine,Education,High school graduate or less,,Yes,35,1.6,,
1,Provider offers telemedicine,Education,High school graduate or less,,No,45.7,1.5,,
1,Provider offers telemedicine,Education,High school graduate or less,,Do not know,5.1,0.9,,
1,Provider offers telemedicine,Education,High school graduate or less,,No usual place of care,14.2,1.6,,
1,Provider offers telemedicine,Education,Some college,2552,Total,100,,,
1,Provider offers telemedicine,Education,Some college,,Yes,35.4,1.5,,
1,Provider offers telemedicine,Education,Some college,,No,49,1.2,,
1,Provider offers telemedicine,Education,Some college,,Do not know,5.2,0.6,,
1,Provider offers telemedicine,Education,Some college,,No usual place of care,10.3,0.7,,
1,Provider offers telemedicine,Education,Bachelor's degree or above,2940,Total,100,,,
1,Provider offers telemedicine,Education,Bachelor's degree or above,,Yes,39.5,1,,
1,Provider offers telemedicine,Education,Bachelor's degree or above,,No,46.3,1.2,,
1,Provider offers telemedicine,Education,Bachelor's degree or above,,Do not know,5.3,0.5,,
1,Provider offers telemedicine,Education,Bachelor's degree or above,,No usual place of care,8.9,0.6,,
1,Provider offers telemedicine,Urbanization,Metropolitan,6050,Total,100,,,
1,Provider offers telemedicine,Urbanization,Metropolitan,,Yes,36.7,0.9,,
1,Provider offers telemedicine,Urbanization,Metropolitan,,No,46.2,0.9,,
1,Provider offers telemedicine,Urbanization,Metropolitan,,Do not know,5.3,0.5,,
1,Provider offers telemedicine,Urbanization,Metropolitan,,No usual place of care,11.8,0.7,,
1,Provider offers telemedicine,Urbanization,Non-Metropolitan,736,Total,100,,,
1,Provider offers telemedicine,Urbanization,Non-Metropolitan,,Yes,35.7,2.3,,
1,Provider offers telemedicine,Urbanization,Non-Metropolitan,,No,52.2,2.5,,
1,Provider offers telemedicine,Urbanization,Non-Metropolitan,,Do not know,4.8,1.1,,
1,Provider offers telemedicine,Urbanization,Non-Metropolitan,,No usual place of care,7.2,1.7,,
1,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,4082,Total,100,,,
1,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,Yes,45.3,1.1,,
1,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,No,43.6,1.1,,
1,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,Do not know,4.1,0.5,,
1,Provider offers telemedicine,Chronic conditions,One or more chronic conditions,,No usual place of care,7.1,0.6,,
1,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,767,Total,100,,,
1,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,Yes,55.7,3,,
1,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,No,34.8,2.4,,
1,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,Do not know,3.3,1,,
1,Provider offers telemedicine,Chronic conditions,Diagnosed diabetes,,No usual place of care,6.2,1.4,,
1,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,2421,Total,100,,,
1,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,Yes,45.6,1.4,,
1,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,No,44.8,1.5,,
1,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,Do not know,3.7,0.6,,
1,Provider offers telemedicine,Chronic conditions,Diagnosed hypertension,,No usual place of care,5.9,0.7,,
1,Provider offers telemedicine,Chronic conditions,Current asthma,696,Total,100,,,
1,Provider offers telemedicine,Chronic conditions,Current asthma,,Yes,46,2.5,,
1,Provider offers telemedicine,Chronic conditions,Current asthma,,No,39.9,2,,
1,Provider offers telemedicine,Chronic conditions,Current asthma,,Do not know,5.7,1.5,,
1,Provider offers telemedicine,Chronic conditions,Current asthma,,No usual place of care,8.3,1.6,,
2,Provider offers telemedicine,Total,Total,5972,Total,100,,,
2,Provider offers telemedicine,Total,Total,,Yes,37.1,0.7,,0
2,Provider offers telemedicine,Total,Total,,No,48,0.9,,0
2,Provider offers telemedicine,Total,Total,,Do not know,5.4,0.4,,0
2,Provider offers telemedicine,Total,Total,,No usual place of care,9.5,0.7,,1
2,Provider offers telemedicine,Age group,18-44 years,2212,Total,100,,,
2,Provider offers telemedicine,Age group,18-44 years,,Yes,31.2,0.9,,0
2,Provider offers telemedicine,Age group,18-44 years,,No,47.3,1.3,,0
2,Provider offers telemedicine,Age group,18-44 years,,Do not know,7.5,0.7,,0
2,Provider offers telemedicine,Age group,18-44 years,,No usual place of care,14,1.3,,1
2,Provider offers telemedicine,Age group,45-64 years,2079,Total,100,,,
2,Provider offers telemedicine,Age group,45-64 years,,Yes,40.1,1.3,,0
2,Provider offers telemedicine,Age group,45-64 years,,No,48.2,1.5,,0
2,Provider offers telemedicine,Age group,45-64 years,,Do not know,4.7,0.7,,0
2,Provider offers telemedicine,Age group,45-64 years,,No usual place of care,7,0.8,,0
2,Provider offers telemedicine,Age group,65 years and over,1681,Total,100,,,
2,Provider offers telemedicine,Age group,65 years and over,,Yes,45.6,1.7,,0
2,Provider offers telemedicine,Age group,65 years and over,,No,49.3,1.8,,0
2,Provider offers telemedicine,Age group,65 years and over,,Do not know,1.8,0.4,,1
2,Provider offers telemedicine,Age group,65 years and over,,No usual place of care,3.4,0.6,,0
2,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,4073,Total,100,,,
2,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Yes,37.9,1.3,,0
2,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No,49.3,1.4,,0
2,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,Do not know,4.8,0.5,,0
2,Provider offers telemedicine,Race/Hispanic origin,White non-Hispanic,,No usual place of care,8,0.8,,0
2,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,689,Total,100,,,
2,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Yes,40,1.7,,0
2,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No,47.2,2.2,,0
2,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,Do not know,3.4,0.9,,1
2,Provider offers telemedicine,Race/Hispanic origin,Black non-Hispanic,,No usual place of care,9.5,1.7,,0
2,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,461,Total,100,,,
2,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Yes,34.4,3.4,,0
2,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No,47.7,4.2,,0
2,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,Do not know,7.9,1.7,,
2,Provider offers telemedicine,Race/Hispanic origin,Other non-Hispanic,,No usual place of care,10.1,1.8,,0
2,Provider offers telemedicine,Race/Hispanic origin,Hispanic,749,Total,100,,,
2,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Yes,33.1,2.8,,0
2,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No,43.6,2.6,,0
2,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,Do not know,8.3,1.2,,1
2,Provider offers telemedicine,Race/Hispanic origin,Hispanic,,No usual place of care,15,1.9,,0
2,Provider offers telemedicine,Sex,Male,2588,Total,100,,,
2,Provider offers telemedicine,Sex,Male,,Yes,33.4,1,,0
2,Provider offers telemedicine,Sex,Male,,No,49.5,1.2,,0
2,Provider offers telemedicine,Sex,Male,,Do not know,5.7,0.7,,0
2,Provider offers telemedicine,Sex,Male,,No usual place of care,11.3,0.9,,0
2,Provider offers telemedicine,Sex,Female,3384,Total,100,,,
2,Provider offers telemedicine,Sex,Female,,Yes,40.5,0.8,,0
2,Provider offers telemedicine,Sex,Female,,No,46.5,0.9,,0
2,Provider offers telemedicine,Sex,Female,,Do not know,5.1,0.6,,0
2,Provider offers telemedicine,Sex,Female,,No usual place of care,7.8,1,,0
2,Provider offers telemedicine,Education,High school graduate or less,1102,Total,100,,,
2,Provider offers telemedicine,Education,High school graduate or less,,Yes,33.3,1.4,,0
2,Provider offers telemedicine,Education,High school graduate or less,,No,50.6,1.7,,1
2,Provider offers telemedicine,Education,High school graduate or less,,Do not know,4.9,0.8,,0
2,Provider offers telemedicine,Education,High school graduate or less,,No usual place of care,11.2,1.4,,0
2,Provider offers telemedicine,Education,Some college,2224,Total,100,,,
2,Provider offers telemedicine,Education,Some college,,Yes,37.6,1.1,,0
2,Provider offers telemedicine,Education,Some college,,No,48.6,1.2,,0
2,Provider offers telemedicine,Education,Some college,,Do not know,5.1,0.8,,0
2,Provider offers telemedicine,Education,Some college,,No usual place of care,8.7,0.8,,1
2,Provider offers telemedicine,Education,Bachelor's degree or above,2646,Total,100,,,
2,Provider offers telemedicine,Education,Bachelor's degree or above,,Yes,40.8,1.3,,0
